"order_id","order_date","total_items","total_quantity","total_order_value","total_discount","bill_amount"
"ORD20250519_567450","2025-05-19","4","13","5826.0","0.0","5826.0"
"ORD20250519_567493","2025-05-19","1","4","888.0","0.0","888.0"
"ORD20250519_567336","2025-05-19","3","9","3082.0","0.0","3082.0"
"ORD20250519_567496","2025-05-19","4","12","5952.0","0.4","5356.8"
"ORD20250519_567458","2025-05-19","2","4","1167.0","0.0","1167.0"
"ORD20250519_567488","2025-05-19","4","14","3670.0","0.0","3670.0"
"ORD20250519_567324","2025-05-19","1","1","222.0","0.0","222.0"
"ORD20250519_567460","2025-05-19","3","11","3380.0","0.30000000000000004","3042.0"
"ORD20250519_567468","2025-05-19","2","8","2980.0","0.4","2384.0"
"ORD20250519_567486","2025-05-19","3","9","3612.0","0.0","3612.0"
"ORD20250519_567315","2025-05-19","1","1","360.0","0.0","360.0"
"ORD20250519_567448","2025-05-19","1","6","900.0","0.0","900.0"
"ORD20250519_567469","2025-05-19","4","15","3478.0","0.0","3478.0"
"ORD20250519_567475","2025-05-19","3","9","2850.0","0.6000000000000001","2280.0"
"ORD20250519_567286","2025-05-19","4","10","4068.0","0.4","3661.2"
"ORD20250519_567446","2025-05-19","4","10","4550.0","0.8","3640.0"
"ORD20250519_567470","2025-05-19","1","6","1200.0","0.0","1200.0"
"ORD20250519_567473","2025-05-19","3","10","4196.0","0.0","4196.0"
"ORD20250519_567282","2025-05-19","3","12","2418.0","0.6000000000000001","1934.4"
"ORD20250519_567427","2025-05-19","3","8","2915.0","0.0","2915.0"
"ORD20250519_567471","2025-05-19","1","3","666.0","0.0","666.0"
"ORD20250519_567463","2025-05-19","2","10","5264.0","0.0","5264.0"
"ORD20250519_567281","2025-05-19","3","12","3805.0","0.0","3805.0"
"ORD20250519_567426","2025-05-19","2","9","3145.0","0.4","2516.0"
"ORD20250519_567480","2025-05-19","2","5","1088.0","0.0","1088.0"
"ORD20250519_567449","2025-05-19","1","1","360.0","0.0","360.0"
"ORD20250519_567280","2025-05-19","2","8","4443.0","0.0","4443.0"
"ORD20250519_567409","2025-05-19","3","9","2050.0","0.0","2050.0"
"ORD20250519_567491","2025-05-19","4","10","2390.0","0.0","2390.0"
"ORD20250519_567438","2025-05-19","1","1","320.0","0.0","320.0"
"ORD20250519_567273","2025-05-19","3","8","2012.0","0.6000000000000001","1609.6"
"ORD20250519_567399","2025-05-19","1","2","300.0","0.0","300.0"
"ORD20250519_567499","2025-05-19","3","4","1140.0","0.0","1140.0"
"ORD20250519_567417","2025-05-19","4","16","5495.0","0.4","4945.5"
"ORD20250519_567268","2025-05-19","1","1","600.0","0.0","600.0"
"ORD20250519_567397","2025-05-19","2","10","3876.0","0.0","3876.0"
"ORD20250519_567503","2025-05-19","1","1","400.0","0.0","400.0"
"ORD20250519_567415","2025-05-19","2","6","1980.0","0.0","1980.0"
"ORD20250519_567259","2025-05-19","1","1","270.0","0.0","270.0"
"ORD20250519_567388","2025-05-19","3","6","2062.0","0.0","2062.0"
"ORD20250519_567510","2025-05-19","2","7","2056.0","0.0","2056.0"
"ORD20250519_567412","2025-05-19","3","9","3085.0","0.0","3085.0"
"ORD20250519_567257","2025-05-19","4","10","3766.0","0.4","3389.4"
"ORD20250519_567378","2025-05-19","2","8","3080.0","0.4","2464.0"
"ORD20250519_567515","2025-05-19","3","11","5270.0","0.0","5270.0"
"ORD20250519_567408","2025-05-19","4","15","4923.0","0.0","4923.0"
"ORD20250519_567495","2025-05-19","1","2","720.0","0.1","648.0"
"ORD20250519_567371","2025-05-19","1","3","1110.0","0.0","1110.0"
"ORD20250519_567253","2025-05-19","2","5","1648.0","0.4","1318.4"
"ORD20250519_567391","2025-05-19","4","5","1941.0","0.48","1708.08"
"ORD20250519_567489","2025-05-19","4","10","2476.0","0.48","2178.88"
"ORD20250519_567368","2025-05-19","1","3","750.0","0.0","750.0"
"ORD20250519_567269","2025-05-19","4","8","2708.0","0.4","2437.2"
"ORD20250519_567387","2025-05-19","1","4","3120.0","0.0","3120.0"
"ORD20250519_567485","2025-05-19","4","10","3680.0","0.0","3680.0"
"ORD20250519_567354","2025-05-19","1","4","1664.0","0.12","1464.32"
"ORD20250519_567293","2025-05-19","3","7","1988.0","0.30000000000000004","1789.2"
"ORD20250519_567385","2025-05-19","1","4","1400.0","0.0","1400.0"
"ORD20250519_567483","2025-05-19","2","4","1376.0","0.2","1238.4"
"ORD20250519_567344","2025-05-19","4","11","3090.0","0.4","2781.0"
"ORD20250519_567301","2025-05-19","1","3","576.0","0.2","460.8"
"ORD20250519_567380","2025-05-19","4","8","2420.0","0.8","1936.0"
"ORD20250519_567478","2025-05-19","1","6","2964.0","0.0","2964.0"
"ORD20250519_567328","2025-05-19","2","7","1984.0","0.0","1984.0"
"ORD20250519_567340","2025-05-19","3","11","4316.0","0.36","3798.08"
"ORD20250519_567377","2025-05-19","4","16","4328.0","0.48","3808.64"
"ORD20250519_567476","2025-05-19","1","2","300.0","0.1","270.0"
"ORD20250519_567322","2025-05-19","3","7","3085.0","0.0","3085.0"
"ORD20250519_567341","2025-05-19","2","6","2200.0","0.24","1936.0"
"ORD20250519_567370","2025-05-19","1","2","300.0","0.0","300.0"
"ORD20250519_567472","2025-05-19","4","9","3495.0","0.8","2796.0"
"ORD20250519_567320","2025-05-19","2","5","1464.0","0.2","1317.6"
"ORD20250519_567345","2025-05-19","2","7","1362.0","0.0","1362.0"
"ORD20250519_567363","2025-05-19","3","12","4756.0","0.0","4756.0"
"ORD20250519_567447","2025-05-19","2","5","2168.0","0.2","1951.2"
"ORD20250519_567316","2025-05-19","3","7","3861.0","0.6000000000000001","3088.8"
"ORD20250519_567346","2025-05-19","1","5","2405.0","0.0","2405.0"
"ORD20250519_567355","2025-05-19","3","10","4070.0","0.0","4070.0"
"ORD20250519_567441","2025-05-19","4","16","8700.0","0.8","6960.0"
"ORD20250519_567308","2025-05-19","2","10","3365.0","0.0","3365.0"
"ORD20250519_567352","2025-05-19","2","6","2475.0","0.0","2475.0"
"ORD20250519_567319","2025-05-19","1","2","500.0","0.12","440.0"
"ORD20250519_567436","2025-05-19","1","4","2340.0","0.0","2340.0"
"ORD20250519_567307","2025-05-19","3","8","2140.0","0.30000000000000004","1926.0"
"ORD20250519_567372","2025-05-19","3","5","1290.0","0.30000000000000004","1161.0"
"ORD20250519_567312","2025-05-19","3","9","2330.0","0.36","2050.4"
"ORD20250519_567434","2025-05-19","1","6","1368.0","0.0","1368.0"
"ORD20250519_567295","2025-05-19","2","7","2760.0","0.4","2208.0"
"ORD20250519_567373","2025-05-19","2","7","1728.0","0.0","1728.0"
"ORD20250519_567311","2025-05-19","1","5","1850.0","0.0","1850.0"
"ORD20250519_567429","2025-05-19","1","2","740.0","0.2","592.0"
"ORD20250519_567288","2025-05-19","1","5","1140.0","0.0","1140.0"
"ORD20250519_567416","2025-05-19","4","6","3505.0","0.48","3084.4"
"ORD20250519_567297","2025-05-19","1","2","520.0","0.0","520.0"
"ORD20250519_567400","2025-05-19","1","6","1920.0","0.0","1920.0"
"ORD20250519_567283","2025-05-19","3","9","3520.0","0.0","3520.0"
"ORD20250519_567420","2025-05-19","3","8","2560.0","0.30000000000000004","2304.0"
"ORD20250519_567294","2025-05-19","4","11","2786.0","0.4","2507.4"
"ORD20250519_567394","2025-05-19","4","20","10020.0","0.0","10020.0"
"ORD20250519_567276","2025-05-19","4","17","3086.0","0.4","2777.4"
"ORD20250519_567421","2025-05-19","1","5","2000.0","0.0","2000.0"
"ORD20250519_567279","2025-05-19","1","2","760.0","0.0","760.0"
"ORD20250519_567374","2025-05-19","2","7","2816.0","0.4","2252.8"
"ORD20250519_567271","2025-05-19","2","4","1132.0","0.0","1132.0"
"ORD20250519_567250","2025-05-19","4","12","4112.0","0.8","3289.6"
"ORD20250519_567272","2025-05-19","2","6","2820.0","0.0","2820.0"
"ORD20250519_567358","2025-05-19","3","8","2808.0","0.30000000000000004","2527.2"
"ORD20250519_567267","2025-05-19","2","7","1970.0","0.0","1970.0"
"ORD20250519_567260","2025-05-19","3","7","2156.0","0.0","2156.0"
"ORD20250519_567258","2025-05-19","3","6","2600.0","0.36","2288.0"
"ORD20250519_567300","2025-05-19","2","5","1800.0","0.24","1584.0"
"ORD20250519_567264","2025-05-19","4","15","5105.0","0.0","5105.0"
"ORD20250519_567265","2025-05-19","2","8","1806.0","0.24","1589.28"
"ORD20250519_567255","2025-05-19","4","14","7150.0","0.0","7150.0"
"ORD20250519_567306","2025-05-19","3","9","3376.0","0.0","3376.0"
"ORD20250519_567263","2025-05-19","3","6","1044.0","0.0","1044.0"
"ORD20250519_567277","2025-05-19","2","8","2520.0","0.2","2268.0"
"ORD20250519_567254","2025-05-19","1","2","540.0","0.0","540.0"
"ORD20250519_567309","2025-05-19","4","13","3576.0","0.8","2860.8"
"ORD20250519_567261","2025-05-19","4","15","5388.0","0.48","4741.44"
"ORD20250519_567290","2025-05-19","1","3","1080.0","0.12","950.4"
"ORD20250519_567251","2025-05-19","4","10","3628.0","0.0","3628.0"
"ORD20250519_567313","2025-05-19","1","3","1110.0","0.2","888.0"
"ORD20250519_567248","2025-05-19","1","1","416.0","0.0","416.0"
"ORD20250519_567292","2025-05-19","4","9","3133.0","0.8","2506.4"
"ORD20250519_567305","2025-05-19","4","15","5185.0","0.48","4562.8"
"ORD20250519_567331","2025-05-19","2","4","1280.0","0.0","1280.0"
"ORD20250519_567457","2025-05-19","2","5","1324.0","0.2","1191.6"
"ORD20250519_567310","2025-05-19","4","19","6264.0","0.48","5512.32"
"ORD20250519_567304","2025-05-19","2","7","2056.0","0.4","1644.8"
"ORD20250519_567332","2025-05-19","1","1","370.0","0.0","370.0"
"ORD20250519_567455","2025-05-19","3","7","1466.0","0.0","1466.0"
"ORD20250519_567326","2025-05-19","3","5","2174.0","0.0","2174.0"
"ORD20250519_567299","2025-05-19","1","1","600.0","0.12","528.0"
"ORD20250519_567335","2025-05-19","1","4","2400.0","0.0","2400.0"
"ORD20250519_567444","2025-05-19","4","13","3246.0","0.0","3246.0"
"ORD20250519_567327","2025-05-19","2","6","2476.0","0.0","2476.0"
"ORD20250519_567298","2025-05-19","2","5","1050.0","0.0","1050.0"
"ORD20250519_567338","2025-05-19","3","12","5482.0","0.0","5482.0"
"ORD20250519_567431","2025-05-19","2","8","2938.0","0.4","2350.4"
"ORD20250519_567343","2025-05-19","4","9","2860.0","0.0","2860.0"
"ORD20250519_567296","2025-05-19","4","14","6120.0","0.48","5385.6"
"ORD20250519_567342","2025-05-19","1","4","1924.0","0.0","1924.0"
"ORD20250519_567430","2025-05-19","4","9","1892.0","0.0","1892.0"
"ORD20250519_567367","2025-05-19","4","13","5612.0","0.0","5612.0"
"ORD20250519_567291","2025-05-19","4","16","6010.0","0.0","6010.0"
"ORD20250519_567361","2025-05-19","4","12","3380.0","0.0","3380.0"
"ORD20250519_567422","2025-05-19","4","10","2006.0","0.8","1604.8"
"ORD20250519_567369","2025-05-19","4","12","2862.0","0.8","2289.6"
"ORD20250519_567289","2025-05-19","1","1","150.0","0.12","132.0"
"ORD20250519_567366","2025-05-19","3","13","3470.0","0.30000000000000004","3123.0"
"ORD20250519_567411","2025-05-19","3","12","3960.0","0.0","3960.0"
"ORD20250519_567379","2025-05-19","4","15","3484.0","0.0","3484.0"
"ORD20250519_567287","2025-05-19","2","4","1444.0","0.4","1155.2"
"ORD20250519_567382","2025-05-19","1","2","400.0","0.0","400.0"
"ORD20250519_567410","2025-05-19","2","6","1634.0","0.0","1634.0"
"ORD20250519_567381","2025-05-19","2","8","1802.0","0.0","1802.0"
"ORD20250519_567278","2025-05-19","3","13","4840.0","0.0","4840.0"
"ORD20250519_567384","2025-05-19","3","8","2590.0","0.30000000000000004","2331.0"
"ORD20250519_567407","2025-05-19","3","12","4510.0","0.0","4510.0"
"ORD20250519_567403","2025-05-19","2","3","1180.0","0.0","1180.0"
"ORD20250519_567274","2025-05-19","1","3","1443.0","0.0","1443.0"
"ORD20250519_567390","2025-05-19","4","12","3203.0","0.0","3203.0"
"ORD20250519_567404","2025-05-19","4","16","7144.0","0.48","6286.72"
"ORD20250519_567406","2025-05-19","4","14","6784.0","0.8","5427.2"
"ORD20250519_567256","2025-05-19","1","3","750.0","0.0","750.0"
"ORD20250519_567398","2025-05-19","2","7","3266.0","0.0","3266.0"
"ORD20250519_567395","2025-05-19","1","6","2220.0","0.1","1998.0"
"ORD20250519_567413","2025-05-19","3","6","1955.0","0.0","1955.0"
"ORD20250519_567249","2025-05-19","4","16","8026.0","0.0","8026.0"
"ORD20250519_567401","2025-05-19","2","6","2560.0","0.0","2560.0"
"ORD20250519_567392","2025-05-19","2","9","4485.0","0.0","4485.0"
"ORD20250519_567423","2025-05-19","3","11","3870.0","0.0","3870.0"
"ORD20250519_567245","2025-05-19","2","6","1788.0","0.0","1788.0"
"ORD20250519_567402","2025-05-19","4","12","5364.0","0.0","5364.0"
"ORD20250519_567389","2025-05-19","4","9","3758.0","0.0","3758.0"
"ORD20250519_567440","2025-05-19","3","9","3570.0","0.0","3570.0"
"ORD20250519_567520","2025-05-19","1","6","3600.0","0.0","3600.0"
"ORD20250519_567424","2025-05-19","3","11","3342.0","0.0","3342.0"
"ORD20250519_567376","2025-05-19","4","15","7285.0","0.4","6556.5"
"ORD20250519_567453","2025-05-19","4","9","3248.0","0.0","3248.0"
"ORD20250519_567519","2025-05-19","3","11","4162.0","0.0","4162.0"
"ORD20250519_567428","2025-05-19","2","4","1444.0","0.2","1299.6"
"ORD20250519_567364","2025-05-19","1","6","2400.0","0.0","2400.0"
"ORD20250519_567461","2025-05-19","4","13","4716.0","0.4","4244.4"
"ORD20250519_567517","2025-05-19","1","3","1560.0","0.0","1560.0"
"ORD20250519_567432","2025-05-19","1","1","250.0","0.1","225.0"
"ORD20250519_567357","2025-05-19","2","6","1446.0","0.24","1272.48"
"ORD20250519_567467","2025-05-19","1","1","325.0","0.0","325.0"
"ORD20250519_567513","2025-05-19","3","10","4010.0","0.30000000000000004","3609.0"
"ORD20250519_567439","2025-05-19","1","4","888.0","0.1","799.2"
"ORD20250519_567356","2025-05-19","1","1","250.0","0.0","250.0"
"ORD20250519_567477","2025-05-19","1","3","1050.0","0.12","924.0"
"ORD20250519_567511","2025-05-19","4","14","5720.0","0.4","5148.0"
"ORD20250519_567451","2025-05-19","4","15","7384.0","0.0","7384.0"
"ORD20250519_567351","2025-05-19","3","13","3480.0","0.6000000000000001","2784.0"
"ORD20250519_567492","2025-05-19","1","6","2220.0","0.0","2220.0"
"ORD20250519_567507","2025-05-19","3","9","3766.0","0.0","3766.0"
"ORD20250519_567454","2025-05-19","1","4","800.0","0.1","720.0"
"ORD20250519_567349","2025-05-19","2","9","3680.0","0.0","3680.0"
"ORD20250519_567508","2025-05-19","3","10","5440.0","0.0","5440.0"
"ORD20250519_567500","2025-05-19","4","9","3700.0","0.0","3700.0"
"ORD20250519_567481","2025-05-19","3","11","3254.0","0.0","3254.0"
"ORD20250519_567347","2025-05-19","1","4","3120.0","0.0","3120.0"
"ORD20250519_567514","2025-05-19","3","7","3672.0","0.0","3672.0"
"ORD20250519_567474","2025-05-19","3","15","4110.0","0.36","3616.8"
"ORD20250519_567487","2025-05-19","4","15","5023.0","0.0","5023.0"
"ORD20250519_567333","2025-05-19","2","7","1600.0","0.0","1600.0"
"ORD20250519_567247","2025-05-19","1","3","1350.0","0.0","1350.0"
"ORD20250519_567466","2025-05-19","1","3","960.0","0.0","960.0"
"ORD20250519_567506","2025-05-19","4","17","6950.0","0.0","6950.0"
"ORD20250519_567330","2025-05-19","4","12","3970.0","0.4","3573.0"
"ORD20250519_567523","2025-05-19","3","10","2670.0","0.6000000000000001","2136.0"
"ORD20250519_567464","2025-05-19","3","3","1272.0","0.0","1272.0"
"ORD20250519_567246","2025-05-19","2","8","3160.0","0.24","2780.8"
"ORD20250519_567325","2025-05-19","3","8","2346.0","0.0","2346.0"
"ORD20250519_567252","2025-05-19","1","2","500.0","0.0","500.0"
"ORD20250519_567456","2025-05-19","3","14","5556.0","0.0","5556.0"
"ORD20250519_567275","2025-05-19","2","8","1880.0","0.24","1654.4"
"ORD20250519_567323","2025-05-19","1","5","1140.0","0.2","912.0"
"ORD20250519_567452","2025-05-19","2","7","2645.0","0.2","2380.5"
"ORD20250519_567321","2025-05-19","1","5","1250.0","0.12","1100.0"
"ORD20250519_567443","2025-05-19","3","7","2198.0","0.30000000000000004","1978.2"
"ORD20250519_567318","2025-05-19","1","2","760.0","0.0","760.0"
"ORD20250519_567437","2025-05-19","2","8","3348.0","0.0","3348.0"
"ORD20250519_567317","2025-05-19","1","3","450.0","0.1","405.0"
"ORD20250519_567433","2025-05-19","1","4","1000.0","0.0","1000.0"
"ORD20250519_567303","2025-05-19","3","11","3140.0","0.6000000000000001","2512.0"
"ORD20250519_567425","2025-05-19","2","2","666.0","0.2","599.4"
"ORD20250519_567302","2025-05-19","1","4","1976.0","0.2","1580.8"
"ORD20250519_567419","2025-05-19","3","8","2580.0","0.0","2580.0"
"ORD20250519_567285","2025-05-19","4","6","1941.0","0.8","1552.8"
"ORD20250519_567418","2025-05-19","1","5","750.0","0.0","750.0"
"ORD20250519_567284","2025-05-19","1","3","975.0","0.0","975.0"
"ORD20250519_567414","2025-05-19","3","12","4259.0","0.30000000000000004","3833.1"
"ORD20250519_567270","2025-05-19","4","9","2635.0","0.8","2108.0"
"ORD20250519_567405","2025-05-19","2","5","1925.0","0.24","1694.0"
"ORD20250519_567266","2025-05-19","1","3","1443.0","0.12","1269.84"
"ORD20250519_567396","2025-05-19","3","6","1484.0","0.0","1484.0"
"ORD20250519_567262","2025-05-19","2","9","3145.0","0.0","3145.0"
"ORD20250519_567393","2025-05-19","3","10","3530.0","0.36","3106.4"
"ORD20250519_567521","2025-05-19","2","5","2080.0","0.24","1830.4"
"ORD20250519_567386","2025-05-19","3","9","2908.0","0.0","2908.0"
"ORD20250519_567516","2025-05-19","3","11","3992.0","0.6000000000000001","3193.6"
"ORD20250519_567383","2025-05-19","1","4","1480.0","0.1","1332.0"
"ORD20250519_567512","2025-05-19","2","4","1405.0","0.2","1264.5"
"ORD20250519_567375","2025-05-19","4","9","3266.0","0.4","2939.4"
"ORD20250519_567509","2025-05-19","1","6","3600.0","0.1","3240.0"
"ORD20250519_567365","2025-05-19","1","2","1560.0","0.0","1560.0"
"ORD20250519_567497","2025-05-19","1","1","120.0","0.12","105.6"
"ORD20250519_567362","2025-05-19","3","6","2183.0","0.0","2183.0"
"ORD20250519_567494","2025-05-19","4","15","5030.0","0.48","4426.4"
"ORD20250519_567360","2025-05-19","3","13","2130.0","0.0","2130.0"
"ORD20250519_567490","2025-05-19","2","3","1580.0","0.4","1264.0"
"ORD20250519_567359","2025-05-19","2","5","1880.0","0.0","1880.0"
"ORD20250519_567484","2025-05-19","3","14","4660.0","0.30000000000000004","4194.0"
"ORD20250519_567350","2025-05-19","1","2","988.0","0.12","869.44"
"ORD20250519_567482","2025-05-19","1","2","500.0","0.0","500.0"
"ORD20250519_567334","2025-05-19","4","13","3664.0","0.0","3664.0"
"ORD20250519_567479","2025-05-19","2","5","1716.0","0.2","1544.4"
"ORD20250519_567329","2025-05-19","2","9","2513.0","0.0","2513.0"
"ORD20250519_567465","2025-05-19","4","16","7422.0","0.0","7422.0"
"ORD20250519_567314","2025-05-19","4","14","4432.0","0.0","4432.0"
"ORD20250519_567462","2025-05-19","4","19","7818.0","0.4","7036.2"
"ORD20250519_567459","2025-05-19","4","12","4517.0","0.0","4517.0"
"ORD20250518_566879","2025-05-18","1","4","1280.0","0.12","1126.4"
"ORD20250518_566973","2025-05-18","4","12","4215.0","0.48","3709.2"
"ORD20250518_567078","2025-05-18","1","7","2660.0","0.12","2340.8"
"ORD20250518_566774","2025-05-18","2","12","3072.0","0.24","2703.36"
"ORD20250518_566856","2025-05-18","3","13","3260.0","0.0","3260.0"
"ORD20250518_566968","2025-05-18","1","7","2660.0","0.12","2340.8"
"ORD20250518_567063","2025-05-18","2","13","3096.0","0.0","3096.0"
"ORD20250518_566770","2025-05-18","3","11","3562.0","0.0","3562.0"
"ORD20250518_566852","2025-05-18","3","13","4826.0","0.0","4826.0"
"ORD20250518_566952","2025-05-18","1","3","1365.0","0.0","1365.0"
"ORD20250518_567041","2025-05-18","3","8","2360.0","0.36","2076.8"
"ORD20250518_566761","2025-05-18","3","8","2708.0","0.0","2708.0"
"ORD20250518_567051","2025-05-18","2","6","1680.0","0.24","1478.4"
"ORD20250518_566921","2025-05-18","1","1","250.0","0.0","250.0"
"ORD20250518_567015","2025-05-18","1","3","1800.0","0.0","1800.0"
"ORD20250518_566739","2025-05-18","2","5","1502.0","0.0","1502.0"
"ORD20250518_567050","2025-05-18","2","9","2880.0","0.0","2880.0"
"ORD20250518_566919","2025-05-18","2","18","4500.0","0.0","4500.0"
"ORD20250518_567007","2025-05-18","2","8","2560.0","0.24","2252.8"
"ORD20250518_566734","2025-05-18","3","8","2918.0","0.0","2918.0"
"ORD20250518_567033","2025-05-18","2","9","3939.0","0.24","3466.32"
"ORD20250518_566915","2025-05-18","3","15","8720.0","0.36","7673.6"
"ORD20250518_567003","2025-05-18","4","30","16068.0","0.48","14139.84"
"ORD20250518_566727","2025-05-18","1","3","750.0","0.0","750.0"
"ORD20250518_567028","2025-05-18","4","16","4074.0","0.48","3585.12"
"ORD20250518_566910","2025-05-18","1","7","1750.0","0.0","1750.0"
"ORD20250518_566988","2025-05-18","3","21","5250.0","0.0","5250.0"
"ORD20250518_566719","2025-05-18","3","17","4370.0","0.36","3845.6"
"ORD20250518_567025","2025-05-18","3","13","5125.0","0.36","4510.0"
"ORD20250518_566900","2025-05-18","2","11","4600.0","0.24","4048.0"
"ORD20250518_566960","2025-05-18","1","3","1140.0","0.12","1003.2"
"ORD20250518_566718","2025-05-18","1","4","2400.0","0.0","2400.0"
"ORD20250518_567024","2025-05-18","1","1","380.0","0.0","380.0"
"ORD20250518_566884","2025-05-18","3","20","5625.0","0.0","5625.0"
"ORD20250518_566927","2025-05-18","3","19","9825.0","0.36","8646.0"
"ORD20250518_566709","2025-05-18","3","15","8060.0","0.0","8060.0"
"ORD20250518_567021","2025-05-18","3","12","3723.0","0.0","3723.0"
"ORD20250518_566881","2025-05-18","4","16","6706.0","0.48","5901.28"
"ORD20250518_566924","2025-05-18","2","14","4865.0","0.24","4281.2"
"ORD20250518_566705","2025-05-18","3","10","3230.0","0.0","3230.0"
"ORD20250518_567002","2025-05-18","3","19","5642.0","0.36","4964.96"
"ORD20250518_566873","2025-05-18","1","1","350.0","0.12","308.0"
"ORD20250518_566923","2025-05-18","4","24","10270.0","0.48","9037.6"
"ORD20250518_566700","2025-05-18","4","24","10919.0","0.48","9608.72"
"ORD20250518_567001","2025-05-18","3","11","4240.0","0.36","3731.2"
"ORD20250518_566870","2025-05-18","1","4","1480.0","0.0","1480.0"
"ORD20250518_566920","2025-05-18","3","19","5462.0","0.36","4806.56"
"ORD20250518_566692","2025-05-18","2","7","1618.0","0.0","1618.0"
"ORD20250518_567000","2025-05-18","2","8","2250.0","0.24","1980.0"
"ORD20250518_566864","2025-05-18","2","10","4580.0","0.0","4580.0"
"ORD20250518_566918","2025-05-18","4","23","6485.0","0.48","5706.8"
"ORD20250518_566682","2025-05-18","3","17","4184.0","0.36","3681.92"
"ORD20250518_566994","2025-05-18","3","13","4565.0","0.0","4565.0"
"ORD20250518_566861","2025-05-18","1","3","1350.0","0.12","1188.0"
"ORD20250518_566899","2025-05-18","1","3","750.0","0.0","750.0"
"ORD20250518_567229","2025-05-18","1","3","1248.0","0.12","1098.24"
"ORD20250518_566993","2025-05-18","4","18","7452.0","0.48","6557.76"
"ORD20250518_566858","2025-05-18","3","10","4529.0","0.36","3985.52"
"ORD20250518_566893","2025-05-18","4","26","11892.0","0.48","10464.96"
"ORD20250518_567226","2025-05-18","4","18","8032.0","0.0","8032.0"
"ORD20250518_566989","2025-05-18","3","15","5591.0","0.36","4920.08"
"ORD20250518_566853","2025-05-18","3","12","4180.0","0.36","3678.4"
"ORD20250518_566885","2025-05-18","3","18","7840.0","0.36","6899.2"
"ORD20250518_567215","2025-05-18","3","11","3862.0","0.36","3398.56"
"ORD20250518_566971","2025-05-18","3","11","2938.0","0.36","2585.44"
"ORD20250518_566849","2025-05-18","2","10","2088.0","0.0","2088.0"
"ORD20250518_566869","2025-05-18","2","2","844.0","0.0","844.0"
"ORD20250518_567196","2025-05-18","2","10","3200.0","0.0","3200.0"
"ORD20250518_566967","2025-05-18","2","14","4585.0","0.0","4585.0"
"ORD20250518_566834","2025-05-18","2","8","1985.0","0.0","1985.0"
"ORD20250518_566868","2025-05-18","4","21","7981.0","0.48","7023.28"
"ORD20250518_567164","2025-05-18","1","5","1850.0","0.12","1628.0"
"ORD20250518_566961","2025-05-18","3","9","3648.0","0.0","3648.0"
"ORD20250518_566821","2025-05-18","4","11","4730.0","0.0","4730.0"
"ORD20250518_566866","2025-05-18","3","14","6226.0","0.36","5478.88"
"ORD20250518_567159","2025-05-18","4","18","7495.0","0.48","6595.6"
"ORD20250518_566958","2025-05-18","3","11","3130.0","0.36","2754.4"
"ORD20250518_566795","2025-05-18","2","7","2482.0","0.0","2482.0"
"ORD20250518_566862","2025-05-18","1","6","2496.0","0.0","2496.0"
"ORD20250518_567149","2025-05-18","3","17","10070.0","0.36","8861.6"
"ORD20250518_566955","2025-05-18","3","9","2166.0","0.0","2166.0"
"ORD20250518_566787","2025-05-18","4","18","5990.0","0.0","5990.0"
"ORD20250518_566854","2025-05-18","4","16","5636.0","0.0","5636.0"
"ORD20250518_567143","2025-05-18","2","8","1776.0","0.0","1776.0"
